case_id,activity,timestamp
1,http://10.19.11.215:8888/index.html,2022-07-27 15:54:58.549423
1,http://10.19.11.215:8888/pages/page1.html,2022-07-27 15:55:09.363072
1,http://10.19.11.215:8888/pages/page2.html,2022-07-27 15:55:15.105390
1,http://10.19.11.215:8888/pages/page3.html,2022-07-27 15:55:19.299285
1,process_end,2022-07-27 15:55:19.299285
2,http://10.19.11.215:8888/index.html,2022-07-27 15:57:24.974007
2,http://10.19.11.215:8888/pages/page1.html,2022-07-27 15:57:28.812289
2,http://10.19.11.215:8888/pages/page2.html,2022-07-27 15:57:33.140660
2,process_end,2022-07-27 15:57:33.140660
3,http://10.19.11.215:8888/index.html,2022-07-27 16:01:22.135806
3,http://10.19.11.215:8888/pages/page1.html,2022-07-27 16:01:26.951635
3,process_end,2022-07-27 16:01:26.951635
4,http://10.19.11.215:8888/index.html,2022-07-27 16:04:09.218730
4,http://10.19.11.215:8888/pages/page1.html,2022-07-27 16:04:13.370421
4,http://10.19.11.215:8888/pages/page2.html,2022-07-27 16:04:16.667466
4,process_end,2022-07-27 16:04:16.667466
5,http://10.19.11.215:8888/index.html,2022-07-27 16:06:04.713079
5,http://10.19.11.215:8888/pages/page1.html,2022-07-27 16:06:09.406191
5,http://10.19.11.215:8888/pages/page2.html,2022-07-27 16:06:13.836480
5,http://10.19.11.215:8888/pages/page1.html,2022-07-27 16:06:21.487903
5,process_end,2022-07-27 16:06:21.487903
